k value,Trial 0,Trial 1,Trial 2,Trial 3
2,0.25,0.25,0.26,0.25
3,0.32,0.28,0.29,0.31
4,0.35,0.36,0.36,0.32
7,0.41,0.42,0.38,0.43
10,0.47,0.47,0.49,0.43
