k value,Trial 0,Trial 1,Trial 2,Trial 3
2,2.62,2.63,2.62,2.63
3,3.49,3.54,3.52,3.5
4,4.4,4.39,4.39,4.43
7,7.15,7.14,7.18,7.14
10,9.91,9.91,9.89,9.95
