s|sigma(s)
=|(
space|x
-|h
,|,
;|l
:|n
!|r
?|e
/|f
.|b
'|2
double quotes|double quotes
(|3
)|=
[|i
]|o
*|1
0|z
1|m
2|c
3|8
4|)
5|.
6|*
7|k
8|0
9|q
a|/
b|:
c|-
d|;
e|5
f|6
g|s
h|9
i|'
j|]
k|[
l|y
m|v
n|d
o|4
p|space
q|?
r|g
s|t
t|7
u|p
v|j
w|a
x|u
y|!
z|w
